rnaID,geneID,ENTREZ
rna2677,gene1124,410696
rna2678,gene1124,410696
rna2679,gene1124,410696
rna2672,gene1124,410696
rna2673,gene1124,410696
rna2674,gene1124,410696
rna2675,gene1124,410696
rna2676,gene1124,410696
rna2671,gene1124,410696
rna2613,gene1092,410702
rna2612,gene1092,410702
rna2597,gene1085,410705
rna2598,gene1085,410705
rna2599,gene1085,410705
rna2504,gene1054,410706
rna2503,gene1054,410706
rna2421,gene1020,410710
rna2420,gene1020,410710
rna2211,gene935,410717
rna2210,gene935,410717
rna2209,gene935,410717
rna2208,gene935,410717
rna2200,gene935,410717
rna2201,gene935,410717
rna2202,gene935,410717
rna2203,gene935,410717
rna2204,gene935,410717
rna2205,gene935,410717
rna2206,gene935,410717
rna2207,gene935,410717
rna2212,gene935,410717
rna2213,gene935,410717
rna2007,gene862,410718
rna2008,gene862,410718
rna2009,gene862,410718
rna2010,gene862,410718
rna2011,gene862,410718
rna2021,gene870,410719
rna2022,gene870,410719
rna1970,gene836,410723
rna1611,gene700,410724
rna1610,gene700,410724
rna1609,gene700,410724
rna1608,gene700,410724
rna1606,gene700,410724
rna1607,gene700,410724
rna1605,gene700,410724
rna1601,gene699,410725
rna1604,gene699,410725
rna1602,gene699,410725
rna1603,gene699,410725
rna1600,gene699,410725
rna1531,gene674,410726
rna1529,gene674,410726
rna1530,gene674,410726
rna1543,gene677,410727
rna1544,gene677,410727
rna1557,gene682,410728
rna1558,gene682,410728
rna1559,gene682,410728
rna1560,gene682,410728
rna1561,gene682,410728
rna1408,gene617,410729
rna1404,gene615,410730
rna1219,gene550,410732
rna1218,gene550,410732
rna1217,gene550,410732
rna1214,gene547,410733
rna1213,gene547,410733
rna1212,gene547,410733
rna1210,gene545,410734
rna1153,gene517,410736
rna1152,gene517,410736
rna1139,gene509,410739
rna1140,gene509,410739
rna1141,gene509,410739
rna1142,gene509,410739
rna1143,gene509,410739
rna1138,gene508,410740
rna1137,gene508,410740
rna1136,gene508,410740
rna1106,gene492,410741
rna1107,gene492,410741
rna1066,gene475,410743
rna1067,gene476,410744
rna1071,gene478,410745
rna1069,gene478,410745
rna1070,gene478,410745
rna1073,gene480,410746
rna1074,gene480,410746
rna1079,gene482,410747
rna1078,gene482,410747
rna1077,gene482,410747
rna1085,gene484,410748
rna1081,gene484,410748
rna1082,gene484,410748
rna1083,gene484,410748
rna1084,gene484,410748
rna845,gene384,410749
rna669,gene305,410751
rna665,gene304,410752
rna666,gene304,410752
rna667,gene304,410752
rna668,gene304,410752
rna659,gene301,410753
rna647,gene293,410754
rna646,gene293,410754
rna3614,gene1506,410755
rna3615,gene1506,410755
rna3616,gene1506,410755
rna3607,gene1503,410756
rna3606,gene1503,410756
rna3608,gene1503,410756
rna397,gene179,410757
rna398,gene179,410757
rna383,gene178,410758
rna392,gene178,410758
rna384,gene178,410758
rna385,gene178,410758
rna386,gene178,410758
rna387,gene178,410758
rna388,gene178,410758
rna389,gene178,410758
rna390,gene178,410758
rna391,gene178,410758
rna393,gene178,410758
rna394,gene178,410758
rna395,gene178,410758
rna396,gene178,410758
rna378,gene174,410761
rna379,gene174,410761
rna199,gene81,410763
rna201,gene83,410765
rna120,gene48,410766
rna121,gene48,410766
rna122,gene48,410766
rna107,gene42,410767
rna108,gene42,410767
rna100,gene37,410769
rna101,gene37,410769
rna86,gene31,410771
rna87,gene31,410771
rna88,gene31,410771
rna89,gene31,410771
rna90,gene31,410771
rna63,gene26,410772
rna64,gene26,410772
rna65,gene26,410772
rna3574,gene1482,410775
rna3575,gene1482,410775
rna3552,gene1479,410776
rna3547,gene1477,410777
rna3548,gene1477,410777
rna3550,gene1477,410777
rna3549,gene1477,410777
rna3440,gene1413,410779
rna3439,gene1413,410779
rna3438,gene1413,410779
rna3437,gene1413,410779
rna3436,gene1413,410779
rna3435,gene1413,410779
rna3434,gene1412,410780
rna3433,gene1412,410780
rna3431,gene1412,410780
rna3432,gene1412,410780
rna3430,gene1412,410780
rna3233,gene1356,410782
rna3236,gene1356,410782
rna3235,gene1356,410782
rna3234,gene1356,410782
rna3228,gene1352,410784
rna3225,gene1349,410785
rna3223,gene1349,410785
rna3224,gene1349,410785
rna3213,gene1344,410788
rna3214,gene1344,410788
rna3215,gene1344,410788
rna3169,gene1324,410791
rna3170,gene1324,410791
rna5616,gene2378,410792
rna5615,gene2378,410792
rna5614,gene2378,410792
rna5613,gene2378,410792
rna5612,gene2377,410793
rna5607,gene2373,410795
rna5608,gene2373,410795
rna5601,gene2370,410796
rna5602,gene2370,410796
rna5603,gene2370,410796
rna5604,gene2370,410796
rna5597,gene2368,410798
rna5596,gene2368,410798
rna5593,gene2368,410798
rna5594,gene2368,410798
rna5595,gene2368,410798
rna5598,gene2368,410798
rna5633,gene2385,410799
rna5655,gene2394,410801
rna5654,gene2394,410801
rna5656,gene2395,410802
rna5657,gene2395,410802
rna5660,gene2398,410803
rna5661,gene2398,410803
rna5662,gene2398,410803
rna5663,gene2398,410803
rna5664,gene2398,410803
rna5665,gene2398,410803
rna5666,gene2398,410803
rna5667,gene2398,410803
rna5668,gene2398,410803
rna5669,gene2398,410803
rna5673,gene2400,410804
rna5672,gene2400,410804
rna5677,gene2402,410805
rna5678,gene2402,410805
rna5679,gene2402,410805
rna5680,gene2402,410805
rna5681,gene2402,410805
rna5685,gene2403,410806
rna5684,gene2403,410806
rna5682,gene2403,410806
rna5683,gene2403,410806
rna5514,gene2353,410808
rna5516,gene2353,410808
rna5515,gene2353,410808
rna5492,gene2338,410809
rna5486,gene2333,410811
rna5485,gene2333,410811
rna5484,gene2333,410811
rna5481,gene2332,410812
rna5482,gene2332,410812
rna5483,gene2332,410812
rna5229,gene2231,410815
rna5226,gene2231,410815
rna5227,gene2231,410815
rna5228,gene2231,410815
rna5230,gene2231,410815
rna5239,gene2231,410815
rna5238,gene2231,410815
rna5237,gene2231,410815
rna5235,gene2231,410815
rna5236,gene2231,410815
rna5232,gene2231,410815
rna5233,gene2231,410815
rna5234,gene2231,410815
rna5231,gene2231,410815
rna5243,gene2231,410815
rna5244,gene2231,410815
rna5242,gene2231,410815
rna5240,gene2231,410815
rna5241,gene2231,410815
rna5246,gene2231,410815
rna5218,gene2227,410816
rna5219,gene2227,410816
rna5175,gene2213,410818
rna5176,gene2213,410818
rna5177,gene2213,410818
rna5162,gene2211,410819
rna5163,gene2211,410819
rna5164,gene2211,410819
rna5165,gene2211,410819
rna5166,gene2211,410819
rna5167,gene2211,410819
rna5168,gene2211,410819
rna5169,gene2211,410819
rna5170,gene2211,410819
rna5171,gene2211,410819
rna5172,gene2211,410819
rna5173,gene2211,410819
rna5157,gene2210,410820
rna5158,gene2210,410820
rna5159,gene2210,410820
rna5160,gene2210,410820
rna5161,gene2210,410820
rna5133,gene2199,410821
rna5134,gene2199,410821
rna5135,gene2199,410821
rna5136,gene2199,410821
rna5118,gene2195,410823
rna5119,gene2195,410823
rna5120,gene2195,410823
rna5121,gene2195,410823
rna5122,gene2195,410823
rna5123,gene2195,410823
rna5124,gene2195,410823
rna5125,gene2195,410823
rna5116,gene2195,410823
rna5117,gene2195,410823
rna5113,gene2194,410824
rna5114,gene2194,410824
rna5115,gene2194,410824
rna5089,gene2187,410825
rna5046,gene2168,410828
rna5047,gene2168,410828
rna5048,gene2169,410829
rna5049,gene2169,410829
rna5050,gene2169,410829
rna5051,gene2169,410829
rna5017,gene2150,410831
rna5018,gene2150,410831
rna5010,gene2150,410831
rna5011,gene2150,410831
rna5012,gene2150,410831
rna5013,gene2150,410831
rna5014,gene2150,410831
rna5015,gene2150,410831
rna5016,gene2150,410831
rna5019,gene2150,410831
rna5020,gene2150,410831
rna5263,gene2241,410833
rna5303,gene2257,410837
rna5304,gene2258,410838
rna5305,gene2258,410838
rna4948,gene2128,410844
rna4947,gene2128,410844
rna4935,gene2122,410848
rna4934,gene2121,410849
rna4929,gene2118,410850
rna4926,gene2116,410851
rna4916,gene2113,410852
rna4917,gene2113,410852
rna4918,gene2113,410852
rna4919,gene2113,410852
rna4920,gene2113,410852
rna4921,gene2113,410852
rna4922,gene2113,410852
rna4923,gene2113,410852
rna4863,gene2105,410853
rna4864,gene2105,410853
rna4865,gene2105,410853
rna4862,gene2104,410854
rna4860,gene2103,410855
rna4861,gene2103,410855
rna4859,gene2102,410856
rna4858,gene2102,410856
rna4857,gene2102,410856
rna4854,gene2100,410857
rna4835,gene2088,410860
rna4817,gene2084,410862
rna4818,gene2084,410862
rna4812,gene2080,410863
rna4809,gene2079,410864
rna4810,gene2079,410864
rna4811,gene2079,410864
rna4808,gene2078,410865
rna4801,gene2075,410866
rna4785,gene2065,410867
rna4779,gene2062,410869
rna4780,gene2062,410869
rna4772,gene2059,410870
rna4773,gene2059,410870
rna4774,gene2059,410870
rna4762,gene2053,410871
rna4761,gene2052,410872
rna4668,gene1998,410874
rna4669,gene1998,410874
rna4688,gene2009,410875
rna4689,gene2010,410876
rna4694,gene2013,410877
rna4513,gene1908,410878
rna4511,gene1908,410878
rna4512,gene1908,410878
rna4433,gene1867,410879
rna4434,gene1867,410879
rna4410,gene1855,410882
rna4409,gene1855,410882
rna4408,gene1855,410882
rna4407,gene1855,410882
rna4405,gene1855,410882
rna4406,gene1855,410882
rna4412,gene1855,410882
rna4411,gene1855,410882
rna4413,gene1855,410882
rna4399,gene1853,410883
rna4370,gene1848,410884
rna4369,gene1847,410885
rna4364,gene1845,410886
rna4365,gene1845,410886
rna4357,gene1842,410887
rna4358,gene1842,410887
rna4359,gene1842,410887
rna4231,gene1773,410888
rna4232,gene1773,410888
rna4233,gene1773,410888
rna4314,gene1813,410889
rna4306,gene1809,410890
rna4304,gene1807,410891
rna4213,gene1769,410893
rna4214,gene1769,410893
rna4215,gene1769,410893
rna4216,gene1769,410893
rna4217,gene1769,410893
rna4218,gene1769,410893
rna4219,gene1769,410893
rna4220,gene1769,410893
rna4221,gene1769,410893
rna4222,gene1769,410893
rna4212,gene1768,410894
rna4205,gene1764,410895
rna4206,gene1764,410895
rna4207,gene1764,410895
rna4208,gene1764,410895
rna4198,gene1759,410896
rna4196,gene1757,410897
rna4113,gene1726,410902
rna7630,gene3211,410904
rna7629,gene3211,410904
rna7628,gene3211,410904
rna7627,gene3211,410904
rna7626,gene3211,410904
rna7632,gene3211,410904
rna7631,gene3211,410904
rna7633,gene3211,410904
rna7612,gene3202,410905
rna7625,gene3210,410906
rna7624,gene3209,410907
rna7590,gene3189,410910
rna7591,gene3189,410910
rna7592,gene3189,410910
rna7593,gene3189,410910
rna7580,gene3185,410911
rna7581,gene3185,410911
rna7545,gene3170,410913
rna7539,gene3168,410915
rna7543,gene3168,410915
rna7542,gene3168,410915
rna7540,gene3168,410915
rna7541,gene3168,410915
rna7533,gene3163,410916
rna7532,gene3163,410916
rna7403,gene3102,410918
rna7402,gene3102,410918
rna7401,gene3102,410918
rna7394,gene3096,410920
rna7387,gene3091,410922
rna7386,gene3091,410922
rna7385,gene3091,410922
rna7384,gene3091,410922
rna7309,gene3058,410923
rna7310,gene3058,410923
rna7311,gene3058,410923
rna7312,gene3058,410923
rna7315,gene3058,410923
rna7314,gene3058,410923
rna7313,gene3058,410923
rna7316,gene3058,410923
rna7317,gene3058,410923
rna7318,gene3058,410923
rna7319,gene3058,410923
rna7320,gene3058,410923
rna7321,gene3058,410923
rna7322,gene3058,410923
rna7308,gene3057,410924
rna7294,gene3056,410925
rna7295,gene3056,410925
rna7296,gene3056,410925
rna7297,gene3056,410925
rna7298,gene3056,410925
rna7299,gene3056,410925
rna7300,gene3056,410925
rna7301,gene3056,410925
rna7302,gene3056,410925
rna7303,gene3056,410925
rna7304,gene3056,410925
rna7305,gene3056,410925
rna7306,gene3056,410925
rna7307,gene3056,410925
rna7209,gene3032,410926
rna7105,gene2982,410928
rna7081,gene2966,410933
rna7080,gene2966,410933
rna7079,gene2966,410933
rna7078,gene2966,410933
rna7077,gene2966,410933
rna6865,gene2878,410936
rna6864,gene2878,410936
rna6863,gene2878,410936
rna6862,gene2878,410936
rna6860,gene2878,410936
rna6861,gene2878,410936
rna6858,gene2878,410936
rna6859,gene2878,410936
rna6857,gene2878,410936
rna6840,gene2873,410938
rna6841,gene2873,410938
rna6843,gene2873,410938
rna6842,gene2873,410938
rna6796,gene2852,410940
rna6787,gene2849,410941
rna6782,gene2845,410943
rna6708,gene2807,410944
rna6709,gene2807,410944
rna6710,gene2807,410944
rna6711,gene2807,410944
rna6719,gene2815,410947
rna6721,gene2816,410948
rna6722,gene2816,410948
rna6720,gene2816,410948
rna6724,gene2817,410949
rna6723,gene2817,410949
rna6728,gene2819,410950
rna6698,gene2805,410951
rna6699,gene2805,410951
rna6700,gene2805,410951
rna6701,gene2805,410951
rna6702,gene2805,410951
rna6703,gene2805,410951
rna6704,gene2805,410951
rna6705,gene2805,410951
rna6679,gene2799,410952
rna6680,gene2799,410952
rna6678,gene2798,410953
rna6677,gene2798,410953
rna6675,gene2798,410953
rna6676,gene2798,410953
rna6593,gene2774,410956
rna6592,gene2774,410956
rna6591,gene2774,410956
rna6594,gene2774,410956
rna6596,gene2774,410956
rna6595,gene2774,410956
rna6590,gene2774,410956
rna6597,gene2774,410956
rna6607,gene2781,410957
rna6608,gene2781,410957
rna6609,gene2781,410957
rna6610,gene2781,410957
rna6629,gene2785,410958
rna6631,gene2786,410959
rna6630,gene2786,410959
rna6632,gene2786,410959
rna6634,gene2788,410960
rna6635,gene2788,410960
rna6636,gene2788,410960
rna6421,gene2701,410961
rna6422,gene2701,410961
rna6346,gene2668,410964
rna6342,gene2666,410965
rna6343,gene2666,410965
rna6290,gene2644,410967
rna6289,gene2644,410967
rna6288,gene2644,410967
rna6287,gene2644,410967
rna6277,gene2639,410968
rna6274,gene2638,410969
rna6275,gene2638,410969
rna6276,gene2638,410969
rna6171,gene2597,410970
rna6147,gene2581,410972
rna6146,gene2581,410972
rna6152,gene2585,410973
rna6123,gene2568,410975
rna6124,gene2568,410975
rna6125,gene2568,410975
rna6126,gene2568,410975
rna6115,gene2562,410976
rna6114,gene2562,410976
rna9410,gene3957,410979
rna9411,gene3957,410979
rna9412,gene3957,410979
rna9407,gene3954,410980
rna9405,gene3954,410980
rna9406,gene3954,410980
rna9404,gene3954,410980
rna9374,gene3949,410982
rna9375,gene3949,410982
rna9373,gene3949,410982
rna9358,gene3940,410985
rna9258,gene3904,410986
rna9257,gene3904,410986
rna9256,gene3904,410986
rna9255,gene3904,410986
rna9254,gene3904,410986
rna9259,gene3904,410986
rna9260,gene3904,410986
rna9261,gene3904,410986
rna9262,gene3904,410986
rna9252,gene3904,410986
rna9263,gene3904,410986
rna9253,gene3904,410986
rna9264,gene3904,410986
rna9265,gene3904,410986
rna9250,gene3903,410987
rna9251,gene3903,410987
rna9108,gene3848,410989
rna9105,gene3845,410990
rna9101,gene3842,410992
rna9100,gene3841,410993
rna9093,gene3836,410994
rna9090,gene3834,410996
rna9087,gene3833,410997
rna9088,gene3833,410997
rna9089,gene3833,410997
rna9083,gene3831,410998
rna9084,gene3831,410998
rna9081,gene3830,410999
rna9082,gene3830,410999
rna9077,gene3830,410999
rna9078,gene3830,410999
rna9079,gene3830,410999
rna9080,gene3830,410999
rna8946,gene3785,411003
rna8947,gene3785,411003
rna8931,gene3779,411006
rna8932,gene3779,411006
rna8933,gene3779,411006
rna8934,gene3779,411006
rna8909,gene3770,411009
rna8910,gene3770,411009
rna8911,gene3770,411009
rna8912,gene3770,411009
rna8883,gene3759,411011
rna8884,gene3760,411012
rna8885,gene3761,411013
rna8886,gene3762,411014
rna8839,gene3738,411018
rna8840,gene3738,411018
rna8837,gene3738,411018
rna8838,gene3738,411018
rna8841,gene3738,411018
rna8835,gene3736,411019
rna8834,gene3736,411019
rna8833,gene3736,411019
rna8829,gene3736,411019
rna8830,gene3736,411019
rna8831,gene3736,411019
rna8832,gene3736,411019
rna8691,gene3678,411021
rna8692,gene3678,411021
rna8684,gene3674,411023
rna8685,gene3674,411023
rna8673,gene3670,411024
rna8596,gene3631,411026
rna8470,gene3575,411030
rna8440,gene3562,411036
rna8441,gene3562,411036
rna8442,gene3562,411036
rna8436,gene3561,411037
rna8439,gene3561,411037
rna8438,gene3561,411037
rna8435,gene3561,411037
rna8437,gene3561,411037
rna8429,gene3556,411038
rna8428,gene3556,411038
rna8427,gene3556,411038
rna8167,gene3449,411043
rna8158,gene3444,411044
rna8130,gene3424,411045
rna8131,gene3424,411045
rna8120,gene3420,411046
rna8119,gene3420,411046
rna8118,gene3420,411046
rna8117,gene3420,411046
rna8112,gene3420,411046
rna8113,gene3420,411046
rna8114,gene3420,411046
rna8115,gene3420,411046
rna8116,gene3420,411046
rna8111,gene3420,411046
rna8080,gene3406,411047
rna8081,gene3406,411047
rna8082,gene3406,411047
rna8083,gene3406,411047
rna8084,gene3406,411047
rna8085,gene3406,411047
rna8086,gene3406,411047
rna8065,gene3394,411048
rna8064,gene3394,411048
rna8061,gene3394,411048
rna8062,gene3394,411048
rna8063,gene3394,411048
rna8029,gene3377,411050
rna8027,gene3377,411050
rna8028,gene3377,411050
rna8026,gene3377,411050
rna8034,gene3377,411050
rna8033,gene3377,411050
rna8032,gene3377,411050
rna8030,gene3377,411050
rna8031,gene3377,411050
rna8024,gene3375,411052
rna8023,gene3375,411052
rna8022,gene3375,411052
rna8020,gene3375,411052
rna8021,gene3375,411052
rna8018,gene3373,411053
rna8012,gene3370,411054
rna8011,gene3370,411054
rna11240,gene4808,411057
rna11241,gene4808,411057
rna11234,gene4808,411057
rna11235,gene4808,411057
rna11236,gene4808,411057
rna11237,gene4808,411057
rna11238,gene4808,411057
rna11239,gene4808,411057
rna11243,gene4808,411057
rna11244,gene4808,411057
rna9573,gene4042,411058
rna9575,gene4043,411059
rna9574,gene4043,411059
rna9576,gene4044,411060
rna9577,gene4044,411060
rna9808,gene4165,411062
rna9824,gene4170,411065
rna9825,gene4170,411065
rna9826,gene4170,411065
rna9827,gene4170,411065
rna9828,gene4170,411065
rna9829,gene4170,411065
rna9830,gene4170,411065
rna9831,gene4170,411065
rna9832,gene4170,411065
rna9843,gene4176,411068
rna9844,gene4176,411068
rna9845,gene4176,411068
rna9846,gene4176,411068
rna9847,gene4177,411069
rna9848,gene4178,411070
rna9849,gene4178,411070
rna9851,gene4180,411071
rna9852,gene4181,411072
rna9853,gene4182,411073
rna9894,gene4194,411076
rna9911,gene4200,411077
rna9927,gene4210,411078
rna9928,gene4210,411078
rna9946,gene4216,411079
rna9947,gene4216,411079
rna9948,gene4216,411079
rna9949,gene4216,411079
rna9950,gene4216,411079
rna9959,gene4222,411080
rna9960,gene4222,411080
rna9961,gene4222,411080
rna10012,gene4252,411081
rna10025,gene4257,411083
rna10026,gene4257,411083
rna10027,gene4257,411083
rna10028,gene4257,411083
rna10029,gene4257,411083
rna10030,gene4257,411083
rna10031,gene4257,411083
rna10032,gene4257,411083
rna10033,gene4257,411083
rna10171,gene4320,411085
rna10174,gene4322,411086
rna10175,gene4322,411086
rna10173,gene4322,411086
rna10231,gene4350,411088
rna10300,gene4383,411090
rna10299,gene4382,411091
rna10295,gene4379,411093
rna10296,gene4379,411093
rna10292,gene4376,411095
rna10502,gene4478,411099
rna10503,gene4478,411099
rna10499,gene4476,411100
rna10480,gene4467,411102
rna10481,gene4467,411102
rna10478,gene4466,411103
rna10479,gene4466,411103
rna10475,gene4463,411104
rna10458,gene4458,411105
rna10453,gene4457,411106
rna10454,gene4457,411106
rna10455,gene4457,411106
rna10456,gene4457,411106
rna10457,gene4457,411106
rna10551,gene4504,411110
rna10552,gene4504,411110
rna10563,gene4511,411112
rna10562,gene4511,411112
rna10565,gene4511,411112
rna10564,gene4511,411112
rna10566,gene4512,411113
rna10567,gene4512,411113
rna10568,gene4512,411113
rna10569,gene4512,411113
rna10570,gene4512,411113
rna10571,gene4512,411113
rna10777,gene4589,411114
rna10778,gene4589,411114
rna10776,gene4589,411114
rna10773,gene4589,411114
rna10774,gene4589,411114
rna10775,gene4589,411114
rna10772,gene4589,411114
rna10770,gene4589,411114
rna10771,gene4589,411114
rna10769,gene4589,411114
rna10766,gene4589,411114
rna10767,gene4589,411114
rna10768,gene4589,411114
rna10743,gene4580,411115
rna10741,gene4580,411115
rna10742,gene4580,411115
rna10838,gene4619,411116
rna10837,gene4619,411116
rna10836,gene4619,411116
rna10925,gene4664,411121
rna10924,gene4663,411122
rna10923,gene4663,411122
rna10953,gene4678,411124
rna10954,gene4678,411124
rna10955,gene4678,411124
rna10956,gene4678,411124
rna11185,gene4788,411125
rna11184,gene4788,411125
rna11181,gene4788,411125
rna11182,gene4788,411125
rna11183,gene4788,411125
rna11192,gene4789,411126
rna11191,gene4789,411126
rna11190,gene4789,411126
rna11189,gene4789,411126
rna11188,gene4789,411126
rna11186,gene4789,411126
rna11187,gene4789,411126
rna11198,gene4793,411132
rna11199,gene4793,411132
rna11200,gene4793,411132
rna11201,gene4794,411133
rna11202,gene4794,411133
rna11203,gene4794,411133
rna11206,gene4796,411134
rna11207,gene4796,411134
rna13020,gene5649,411140
rna12627,gene5458,411141
rna12624,gene5458,411141
rna12625,gene5458,411141
rna12626,gene5458,411141
rna12623,gene5458,411141
rna12628,gene5459,411142
rna12580,gene5438,411144
rna12579,gene5438,411144
rna12578,gene5438,411144
rna12577,gene5438,411144
rna12472,gene5393,411145
rna12465,gene5389,411147
rna12466,gene5389,411147
rna12434,gene5384,411148
rna12435,gene5384,411148
rna12436,gene5384,411148
rna12431,gene5382,411150
rna12277,gene5301,411154
rna12278,gene5301,411154
rna12279,gene5301,411154
rna12280,gene5301,411154
rna12281,gene5301,411154
rna12282,gene5301,411154
rna12251,gene5291,411155
rna12252,gene5291,411155
rna12253,gene5291,411155
rna12254,gene5291,411155
rna12255,gene5291,411155
rna12256,gene5291,411155
rna12257,gene5291,411155
rna12201,gene5264,411156
rna12200,gene5264,411156
rna12179,gene5256,411157
rna12178,gene5256,411157
rna12180,gene5256,411157
rna12181,gene5256,411157
rna12182,gene5256,411157
rna12183,gene5256,411157
rna12184,gene5256,411157
rna12185,gene5256,411157
rna12186,gene5256,411157
rna12187,gene5256,411157
rna12188,gene5256,411157
rna12159,gene5247,411158
rna12160,gene5247,411158
rna12161,gene5247,411158
rna12162,gene5247,411158
rna12154,gene5243,411159
rna12114,gene5229,411163
rna12113,gene5228,411164
rna12096,gene5221,411166
rna12097,gene5221,411166
rna12095,gene5220,411167
rna12048,gene5197,411171
rna12034,gene5189,411172
rna12031,gene5188,411173
rna12032,gene5188,411173
rna12033,gene5188,411173
rna11949,gene5155,411175
rna11948,gene5155,411175
rna11922,gene5142,411176
rna11923,gene5142,411176
rna11889,gene5127,411177
rna11462,gene4908,411181
rna11463,gene4908,411181
rna11464,gene4908,411181
rna11468,gene4908,411181
rna11467,gene4908,411181
rna11466,gene4908,411181
rna11465,gene4908,411181
rna11469,gene4909,411182
rna11470,gene4909,411182
rna11440,gene4898,411183
rna11443,gene4901,411184
rna11445,gene4901,411184
rna11444,gene4901,411184
rna11446,gene4901,411184
rna11447,gene4901,411184
rna11449,gene4901,411184
rna11448,gene4901,411184
rna11450,gene4901,411184
rna11451,gene4901,411184
rna13174,gene5711,411185
rna13175,gene5711,411185
rna13169,gene5709,411186
rna13170,gene5709,411186
rna13171,gene5709,411186
rna13172,gene5709,411186
rna14397,gene6249,411187
rna14395,gene6248,411188
rna14396,gene6248,411188
rna14394,gene6247,411189
rna14377,gene6235,411191
rna14376,gene6234,411192
rna14375,gene6234,411192
rna14374,gene6234,411192
rna14369,gene6232,411193
rna14370,gene6232,411193
rna14332,gene6217,411194
rna14312,gene6210,411195
rna14303,gene6207,411196
rna14237,gene6172,411197
rna14098,gene6112,411199
rna14100,gene6114,411200
rna14051,gene6094,411201
rna14052,gene6094,411201
rna14053,gene6094,411201
rna14054,gene6094,411201
rna14055,gene6094,411201
rna14056,gene6094,411201
rna8801,gene3718,411202
rna8806,gene3720,411204
rna8805,gene3720,411204
rna8804,gene3720,411204
rna8803,gene3720,411204
rna8813,gene3724,411206
rna8814,gene3725,411207
rna8818,gene3728,411209
rna14049,gene6092,411212
rna14046,gene6091,411213
rna14047,gene6091,411213
rna14048,gene6091,411213
rna14040,gene6088,411214
rna14039,gene6088,411214
rna14038,gene6088,411214
rna14036,gene6088,411214
rna14037,gene6088,411214
rna13923,gene6035,411215
rna13907,gene6023,411217
rna13906,gene6022,411218
rna13896,gene6017,411219
rna13897,gene6017,411219
rna13898,gene6017,411219
rna13899,gene6017,411219
rna13900,gene6017,411219
rna13841,gene6004,411220
rna13840,gene6004,411220
rna13790,gene5992,411223
rna13791,gene5992,411223
rna13792,gene5992,411223
rna13793,gene5992,411223
rna13493,gene5861,411226
rna13492,gene5861,411226
rna13491,gene5861,411226
rna13490,gene5861,411226
rna13411,gene5813,411227
rna13372,gene5800,411229
rna13373,gene5800,411229
rna13374,gene5800,411229
rna13375,gene5800,411229
rna13376,gene5800,411229
rna13377,gene5800,411229
rna13378,gene5800,411229
rna13365,gene5798,411230
rna13363,gene5796,411231
rna13296,gene5760,411233
rna13301,gene5761,411234
rna13300,gene5761,411234
rna13299,gene5761,411234
rna13297,gene5761,411234
rna13298,gene5761,411234
rna16442,gene7114,411237
rna14466,gene6274,411238
rna14464,gene6274,411238
rna14465,gene6274,411238
rna14462,gene6274,411238
rna14463,gene6274,411238
rna14461,gene6274,411238
rna14459,gene6274,411238
rna14460,gene6274,411238
rna14525,gene6291,411239
rna14926,gene6473,411240
rna15161,gene6582,411245
rna15188,gene6590,411248
rna15189,gene6590,411248
rna15190,gene6590,411248
rna15191,gene6590,411248
rna15192,gene6590,411248
rna15193,gene6590,411248
rna15194,gene6590,411248
rna15195,gene6590,411248
rna15196,gene6590,411248
rna15197,gene6590,411248
rna15198,gene6590,411248
rna15200,gene6592,411249
rna15201,gene6593,411250
rna15205,gene6595,411252
rna15206,gene6595,411252
rna15207,gene6595,411252
rna15209,gene6595,411252
rna15208,gene6595,411252
rna15221,gene6602,411253
rna15222,gene6602,411253
rna15223,gene6602,411253
rna15232,gene6607,411255
rna15239,gene6609,411257
rna15247,gene6614,411260
rna15249,gene6615,411261
rna15248,gene6615,411261
rna15256,gene6620,411262
rna15254,gene6620,411262
rna15255,gene6620,411262
rna15271,gene6624,411264
rna15272,gene6624,411264
rna15273,gene6624,411264
rna15316,gene6651,411265
rna15315,gene6650,411266
rna15640,gene6782,411268
rna15639,gene6781,411269
rna15619,gene6776,411270
rna15620,gene6776,411270
rna15621,gene6776,411270
rna15614,gene6774,411272
rna15735,gene6819,411273
rna15734,gene6819,411273
rna15782,gene6843,411276
rna15783,gene6843,411276
rna15784,gene6843,411276
rna15785,gene6843,411276
rna15791,gene6848,411277
rna15792,gene6848,411277
rna15793,gene6848,411277
rna15794,gene6848,411277
rna15795,gene6848,411277
rna15796,gene6848,411277
rna15797,gene6848,411277
rna15798,gene6848,411277
rna15799,gene6848,411277
rna15800,gene6848,411277
rna15801,gene6848,411277
rna15802,gene6848,411277
rna15803,gene6848,411277
rna15804,gene6848,411277
rna15805,gene6848,411277
rna15806,gene6848,411277
rna15807,gene6848,411277
rna15808,gene6848,411277
rna15809,gene6848,411277
rna15810,gene6848,411277
rna15811,gene6848,411277
rna15812,gene6848,411277
rna15813,gene6848,411277
rna15814,gene6848,411277
rna15815,gene6848,411277
rna15816,gene6848,411277
rna15817,gene6848,411277
rna15818,gene6848,411277
rna15829,gene6854,411279
rna15828,gene6854,411279
rna15827,gene6854,411279
rna15826,gene6854,411279
rna15830,gene6855,411280
rna15832,gene6857,411282
rna15833,gene6857,411282
rna15834,gene6857,411282
rna16041,gene6944,411285
rna16042,gene6944,411285
rna16043,gene6944,411285
rna16044,gene6944,411285
rna16133,gene6981,411288
