rnaID,geneID,ENTREZ
rna1102,gene490,408609
rna1103,gene490,408609
rna1061,gene473,408611
rna1062,gene473,408611
rna672,gene306,408613
rna670,gene306,408613
rna671,gene306,408613
rna673,gene306,408613
rna660,gene302,408614
rna661,gene302,408614
rna657,gene299,408615
rna620,gene283,408616
rna619,gene283,408616
rna617,gene283,408616
rna618,gene283,408616
rna616,gene283,408616
rna615,gene283,408616
rna614,gene283,408616
rna613,gene283,408616
rna624,gene283,408616
rna625,gene283,408616
rna623,gene283,408616
rna622,gene283,408616
rna621,gene283,408616
rna464,gene203,408618
rna465,gene203,408618
rna475,gene211,408619
rna476,gene211,408619
rna477,gene211,408619
rna478,gene212,408620
rna479,gene212,408620
rna481,gene214,408621
rna400,gene180,408622
rna399,gene180,408622
rna365,gene173,408623
rna366,gene173,408623
rna367,gene173,408623
rna368,gene173,408623
rna369,gene173,408623
rna370,gene173,408623
rna371,gene173,408623
rna372,gene173,408623
rna373,gene173,408623
rna374,gene173,408623
rna375,gene173,408623
rna376,gene173,408623
rna377,gene173,408623
rna331,gene153,408624
rna328,gene153,408624
rna329,gene153,408624
rna330,gene153,408624
rna332,gene153,408624
rna203,gene85,408625
rna136,gene58,408626
rna135,gene58,408626
rna133,gene58,408626
rna134,gene58,408626
rna3553,gene1480,408631
rna3554,gene1480,408631
rna3555,gene1480,408631
rna3556,gene1480,408631
rna3557,gene1480,408631
rna3558,gene1480,408631
rna3559,gene1480,408631
rna3560,gene1480,408631
rna3561,gene1480,408631
rna3562,gene1480,408631
rna3563,gene1480,408631
rna3564,gene1480,408631
rna3565,gene1480,408631
rna3566,gene1480,408631
rna3567,gene1480,408631
rna3568,gene1480,408631
rna3569,gene1480,408631
rna3570,gene1480,408631
rna3571,gene1480,408631
rna3551,gene1478,408632
rna3449,gene1418,408633
rna3448,gene1418,408633
rna3447,gene1418,408633
rna3446,gene1417,408634
rna3392,gene1401,408635
rna3391,gene1401,408635
rna3368,gene1393,408641
rna3344,gene1391,408642
rna3230,gene1354,408643
rna3231,gene1354,408643
rna3212,gene1343,408645
rna3211,gene1343,408645
rna3210,gene1343,408645
rna3209,gene1343,408645
rna3202,gene1338,408646
rna3201,gene1338,408646
rna3200,gene1338,408646
rna3199,gene1338,408646
rna5611,gene2376,408648
rna5591,gene2366,408649
rna5590,gene2366,408649
rna5635,gene2387,408650
rna5636,gene2388,408652
rna5638,gene2388,408652
rna5637,gene2388,408652
rna5640,gene2390,408653
rna5641,gene2390,408653
rna5642,gene2390,408653
rna5643,gene2390,408653
rna5644,gene2390,408653
rna5645,gene2390,408653
rna5646,gene2390,408653
rna5647,gene2390,408653
rna5648,gene2390,408653
rna5649,gene2390,408653
rna5650,gene2391,408654
rna5652,gene2392,408655
rna5651,gene2392,408655
rna5670,gene2399,408656
rna5671,gene2399,408656
rna5674,gene2401,408657
rna5675,gene2401,408657
rna5676,gene2401,408657
rna5490,gene2336,408658
rna5457,gene2325,408660
rna5458,gene2325,408660
rna5462,gene2325,408660
rna5461,gene2325,408660
rna5460,gene2325,408660
rna5459,gene2325,408660
rna5361,gene2274,408661
rna5362,gene2274,408661
rna5342,gene2270,408662
rna5343,gene2270,408662
rna5252,gene2235,408663
rna5200,gene2225,408664
rna5214,gene2225,408664
rna5215,gene2225,408664
rna5201,gene2225,408664
rna5202,gene2225,408664
rna5203,gene2225,408664
rna5204,gene2225,408664
rna5205,gene2225,408664
rna5206,gene2225,408664
rna5207,gene2225,408664
rna5208,gene2225,408664
rna5209,gene2225,408664
rna5210,gene2225,408664
rna5211,gene2225,408664
rna5212,gene2225,408664
rna5213,gene2225,408664
rna5216,gene2225,408664
rna5179,gene2215,408666
rna5180,gene2215,408666
rna5126,gene2196,408668
rna5127,gene2196,408668
rna5128,gene2196,408668
rna5112,gene2193,408669
rna5110,gene2193,408669
rna5111,gene2193,408669
rna5109,gene2193,408669
rna5107,gene2193,408669
rna5108,gene2193,408669
rna5105,gene2193,408669
rna5106,gene2193,408669
rna5003,gene2148,408670
rna5001,gene2148,408670
rna5002,gene2148,408670
rna5000,gene2148,408670
rna5004,gene2148,408670
rna5005,gene2148,408670
rna5008,gene2148,408670
rna5007,gene2148,408670
rna5006,gene2148,408670
rna5260,gene2240,408672
rna5261,gene2240,408672
rna5262,gene2240,408672
rna5268,gene2244,408673
rna5269,gene2244,408673
rna5270,gene2245,408674
rna5279,gene2248,408675
rna5282,gene2251,408676
rna5283,gene2251,408676
rna5284,gene2251,408676
rna5285,gene2251,408676
rna5286,gene2251,408676
rna5287,gene2251,408676
rna5288,gene2251,408676
rna5300,gene2255,408677
rna5294,gene2255,408677
rna5295,gene2255,408677
rna5296,gene2255,408677
rna5297,gene2255,408677
rna5298,gene2255,408677
rna5299,gene2255,408677
rna5293,gene2255,408677
rna5312,gene2262,408678
rna5313,gene2262,408678
rna5310,gene2262,408678
rna5311,gene2262,408678
rna5309,gene2262,408678
rna4987,gene2144,408680
rna4988,gene2144,408680
rna4989,gene2144,408680
rna4990,gene2144,408680
rna4991,gene2144,408680
rna4992,gene2144,408680
rna4993,gene2144,408680
rna4994,gene2144,408680
rna4995,gene2144,408680
rna4986,gene2143,408681
rna4985,gene2143,408681
rna4878,gene2112,408685
rna4879,gene2112,408685
rna4880,gene2112,408685
rna4881,gene2112,408685
rna4882,gene2112,408685
rna4883,gene2112,408685
rna4884,gene2112,408685
rna4885,gene2112,408685
rna4886,gene2112,408685
rna4887,gene2112,408685
rna4888,gene2112,408685
rna4889,gene2112,408685
rna4890,gene2112,408685
rna4891,gene2112,408685
rna4892,gene2112,408685
rna4893,gene2112,408685
rna4894,gene2112,408685
rna4895,gene2112,408685
rna4896,gene2112,408685
rna4897,gene2112,408685
rna4898,gene2112,408685
rna4899,gene2112,408685
rna4900,gene2112,408685
rna4901,gene2112,408685
rna4902,gene2112,408685
rna4903,gene2112,408685
rna4904,gene2112,408685
rna4905,gene2112,408685
rna4906,gene2112,408685
rna4907,gene2112,408685
rna4908,gene2112,408685
rna4909,gene2112,408685
rna4910,gene2112,408685
rna4911,gene2112,408685
rna4912,gene2112,408685
rna4913,gene2112,408685
rna4914,gene2112,408685
rna4915,gene2112,408685
rna4853,gene2099,408686
rna4836,gene2089,408687
rna4821,gene2086,408688
rna4822,gene2086,408688
rna4823,gene2086,408688
rna4824,gene2086,408688
rna4825,gene2086,408688
rna4826,gene2086,408688
rna4827,gene2086,408688
rna4828,gene2086,408688
rna4829,gene2086,408688
rna4830,gene2086,408688
rna4831,gene2086,408688
rna4832,gene2086,408688
rna4833,gene2086,408688
rna4792,gene2069,408689
rna4793,gene2069,408689
rna4794,gene2069,408689
rna4787,gene2067,408690
rna4790,gene2067,408690
rna4789,gene2067,408690
rna4788,gene2067,408690
rna4777,gene2061,408691
rna4778,gene2061,408691
rna4657,gene1995,408693
rna4658,gene1995,408693
rna4659,gene1995,408693
rna4664,gene1995,408693
rna4665,gene1995,408693
rna4663,gene1995,408693
rna4662,gene1995,408693
rna4661,gene1995,408693
rna4660,gene1995,408693
rna4670,gene1999,408694
rna4671,gene1999,408694
rna4672,gene2000,408695
rna4673,gene2001,408696
rna4683,gene2007,408697
rna4684,gene2007,408697
rna4685,gene2007,408697
rna4686,gene2007,408697
rna4523,gene1914,408699
rna4524,gene1914,408699
rna4442,gene1873,408701
rna4439,gene1870,408702
rna4243,gene1778,408705
rna4244,gene1778,408705
rna4245,gene1778,408705
rna4332,gene1827,408706
rna4333,gene1827,408706
rna4311,gene1811,408708
rna4309,gene1811,408708
rna4310,gene1811,408708
rna4308,gene1811,408708
rna4312,gene1811,408708
rna4223,gene1770,408710
rna4224,gene1770,408710
rna4225,gene1770,408710
rna4226,gene1770,408710
rna4227,gene1770,408710
rna4204,gene1763,408711
rna4203,gene1763,408711
rna4199,gene1760,408712
rna4197,gene1758,408713
rna4184,gene1752,408714
rna4182,gene1752,408714
rna4183,gene1752,408714
rna4172,gene1745,408715
rna4168,gene1745,408715
rna4171,gene1745,408715
rna4169,gene1745,408715
rna4170,gene1745,408715
rna4104,gene1724,408716
rna4105,gene1724,408716
rna4103,gene1724,408716
rna4114,gene1727,408717
rna4116,gene1729,408718
rna4117,gene1729,408718
rna4118,gene1729,408718
rna4119,gene1729,408718
rna4120,gene1729,408718
rna7647,gene3218,408721
rna7611,gene3201,408722
rna7620,gene3206,408723
rna7618,gene3206,408723
rna7619,gene3206,408723
rna7617,gene3206,408723
rna7616,gene3206,408723
rna7621,gene3206,408723
rna7615,gene3205,408724
rna7582,gene3186,408725
rna7546,gene3171,408726
rna7535,gene3165,408727
rna7534,gene3164,408728
rna7529,gene3161,408729
rna7528,gene3161,408729
rna7527,gene3161,408729
rna7526,gene3160,408730
rna7377,gene3085,408732
rna7342,gene3068,408733
rna7343,gene3068,408733
rna7344,gene3068,408733
rna7338,gene3065,408734
rna7335,gene3065,408734
rna7336,gene3065,408734
rna7337,gene3065,408734
rna7061,gene2961,408740
rna7062,gene2961,408740
rna7063,gene2961,408740
rna7064,gene2961,408740
rna7065,gene2961,408740
rna7066,gene2961,408740
rna7067,gene2961,408740
rna7068,gene2961,408740
rna7069,gene2961,408740
rna7070,gene2961,408740
rna7032,gene2950,408741
rna7033,gene2950,408741
rna7034,gene2950,408741
rna7035,gene2950,408741
rna7036,gene2950,408741
rna7037,gene2950,408741
rna7038,gene2950,408741
rna7039,gene2950,408741
rna7040,gene2950,408741
rna7041,gene2950,408741
rna7042,gene2950,408741
rna6877,gene2883,408742
rna6878,gene2883,408742
rna6879,gene2883,408742
rna6681,gene2800,408748
rna6602,gene2777,408749
rna6600,gene2777,408749
rna6601,gene2777,408749
rna6603,gene2778,408750
rna6604,gene2779,408751
rna6605,gene2779,408751
rna6628,gene2784,408752
rna6626,gene2784,408752
rna6627,gene2784,408752
rna6332,gene2661,408754
rna6331,gene2661,408754
rna6328,gene2661,408754
rna6329,gene2661,408754
rna6330,gene2661,408754
rna6325,gene2660,408755
rna6326,gene2660,408755
rna6327,gene2660,408755
rna6324,gene2660,408755
rna6257,gene2632,408758
rna6256,gene2632,408758
rna6254,gene2632,408758
rna6255,gene2632,408758
rna6251,gene2632,408758
rna6252,gene2632,408758
rna6253,gene2632,408758
rna6250,gene2632,408758
rna6248,gene2632,408758
rna6249,gene2632,408758
rna6172,gene2598,408759
rna6173,gene2598,408759
rna6174,gene2598,408759
rna6175,gene2598,408759
rna6176,gene2598,408759
rna6153,gene2586,408761
rna6170,gene2596,408762
rna6100,gene2557,408763
rna6101,gene2557,408763
rna6104,gene2557,408763
rna6103,gene2557,408763
rna6102,gene2557,408763
rna6107,gene2557,408763
rna6105,gene2557,408763
rna6106,gene2557,408763
rna6108,gene2557,408763
rna6067,gene2556,408764
rna6068,gene2556,408764
rna6072,gene2556,408764
rna6069,gene2556,408764
rna6070,gene2556,408764
rna6071,gene2556,408764
rna6082,gene2556,408764
rna6066,gene2556,408764
rna6073,gene2556,408764
rna6074,gene2556,408764
rna6075,gene2556,408764
rna6076,gene2556,408764
rna6077,gene2556,408764
rna6078,gene2556,408764
rna6079,gene2556,408764
rna6080,gene2556,408764
rna6081,gene2556,408764
rna6083,gene2556,408764
rna6084,gene2556,408764
rna6085,gene2556,408764
rna6086,gene2556,408764
rna6087,gene2556,408764
rna6088,gene2556,408764
rna6089,gene2556,408764
rna6090,gene2556,408764
rna6091,gene2556,408764
rna6092,gene2556,408764
rna6093,gene2556,408764
rna6095,gene2556,408764
rna6094,gene2556,408764
rna6096,gene2556,408764
rna6097,gene2556,408764
rna6098,gene2556,408764
rna6099,gene2556,408764
rna7870,gene3309,408766
rna7871,gene3309,408766
rna7872,gene3309,408766
rna7873,gene3309,408766
rna7874,gene3309,408766
rna7875,gene3309,408766
rna7876,gene3309,408766
rna7877,gene3309,408766
rna7869,gene3309,408766
rna7878,gene3309,408766
rna9426,gene3961,408767
rna9425,gene3961,408767
rna9424,gene3961,408767
rna9423,gene3961,408767
rna9422,gene3961,408767
rna9416,gene3959,408769
rna9419,gene3959,408769
rna9418,gene3959,408769
rna9414,gene3959,408769
rna9415,gene3959,408769
rna9417,gene3959,408769
rna9399,gene3951,408770
rna9398,gene3951,408770
rna9397,gene3951,408770
rna9396,gene3951,408770
rna9395,gene3951,408770
rna9391,gene3951,408770
rna9392,gene3951,408770
rna9393,gene3951,408770
rna9394,gene3951,408770
rna9384,gene3951,408770
rna9385,gene3951,408770
rna9386,gene3951,408770
rna9387,gene3951,408770
rna9388,gene3951,408770
rna9389,gene3951,408770
rna9390,gene3951,408770
rna9383,gene3951,408770
rna9382,gene3951,408770
rna9380,gene3951,408770
rna9381,gene3951,408770
rna9363,gene3942,408773
rna9359,gene3941,408774
rna9360,gene3941,408774
rna9361,gene3941,408774
rna9362,gene3941,408774
rna9274,gene3906,408775
rna9275,gene3906,408775
rna9276,gene3906,408775
rna9277,gene3906,408775
rna9278,gene3906,408775
rna9279,gene3906,408775
rna9280,gene3906,408775
rna9281,gene3906,408775
rna9282,gene3906,408775
rna9283,gene3906,408775
rna9284,gene3906,408775
rna9273,gene3906,408775
rna9272,gene3906,408775
rna9269,gene3906,408775
rna9270,gene3906,408775
rna9271,gene3906,408775
rna9268,gene3906,408775
rna9285,gene3906,408775
rna9286,gene3906,408775
rna9267,gene3906,408775
rna9184,gene3868,408777
rna9186,gene3868,408777
rna9185,gene3868,408777
rna9182,gene3868,408777
rna9187,gene3868,408777
rna9181,gene3868,408777
rna9183,gene3868,408777
rna9137,gene3863,408779
rna9138,gene3863,408779
rna9139,gene3863,408779
rna9140,gene3863,408779
rna9163,gene3863,408779
rna9141,gene3863,408779
rna9142,gene3863,408779
rna9143,gene3863,408779
rna9144,gene3863,408779
rna9145,gene3863,408779
rna9146,gene3863,408779
rna9147,gene3863,408779
rna9148,gene3863,408779
rna9149,gene3863,408779
rna9150,gene3863,408779
rna9151,gene3863,408779
rna9152,gene3863,408779
rna9153,gene3863,408779
rna9154,gene3863,408779
rna9155,gene3863,408779
rna9156,gene3863,408779
rna9157,gene3863,408779
rna9158,gene3863,408779
rna9159,gene3863,408779
rna9160,gene3863,408779
rna9161,gene3863,408779
rna9162,gene3863,408779
rna9164,gene3863,408779
rna9165,gene3863,408779
rna9166,gene3863,408779
rna9167,gene3863,408779
rna9168,gene3863,408779
rna9169,gene3863,408779
rna9170,gene3863,408779
rna9171,gene3863,408779
rna9172,gene3863,408779
rna9173,gene3863,408779
rna9110,gene3849,408780
rna9109,gene3849,408780
rna9095,gene3838,408782
rna9086,gene3832,408783
rna9085,gene3832,408783
rna9076,gene3829,408784
rna9071,gene3825,408785
rna9070,gene3825,408785
rna9069,gene3825,408785
rna8970,gene3798,408786
rna8971,gene3798,408786
rna8972,gene3798,408786
rna8973,gene3798,408786
rna8974,gene3798,408786
rna8975,gene3798,408786
rna8976,gene3798,408786
rna8977,gene3798,408786
rna8978,gene3798,408786
rna8979,gene3798,408786
rna8980,gene3798,408786
rna8981,gene3798,408786
rna8982,gene3798,408786
rna8983,gene3798,408786
rna8984,gene3798,408786
rna8985,gene3798,408786
rna8986,gene3798,408786
rna8987,gene3798,408786
rna8988,gene3798,408786
rna8989,gene3798,408786
rna8990,gene3798,408786
rna8991,gene3798,408786
rna8992,gene3798,408786
rna8993,gene3798,408786
rna8994,gene3798,408786
rna8995,gene3798,408786
rna8996,gene3798,408786
rna8997,gene3798,408786
rna8998,gene3798,408786
rna8999,gene3798,408786
rna9000,gene3798,408786
rna9001,gene3798,408786
rna9002,gene3798,408786
rna9003,gene3798,408786
rna9004,gene3798,408786
rna9005,gene3798,408786
rna9006,gene3798,408786
rna9007,gene3798,408786
rna9008,gene3798,408786
rna9009,gene3798,408786
rna9010,gene3798,408786
rna9011,gene3798,408786
rna9012,gene3798,408786
rna9013,gene3798,408786
rna9014,gene3798,408786
rna9015,gene3798,408786
rna9016,gene3798,408786
rna9017,gene3798,408786
rna9018,gene3798,408786
rna9019,gene3798,408786
rna9020,gene3798,408786
rna8967,gene3796,408787
rna8966,gene3796,408787
rna8965,gene3796,408787
rna8968,gene3796,408787
rna8964,gene3795,408788
rna8945,gene3784,408789
rna8944,gene3784,408789
rna8943,gene3784,408789
rna8923,gene3775,408790
rna8924,gene3775,408790
rna8925,gene3775,408790
rna8917,gene3772,408791
rna8918,gene3772,408791
rna8919,gene3772,408791
rna8914,gene3772,408791
rna8915,gene3772,408791
rna8916,gene3772,408791
rna8908,gene3769,408792
rna8907,gene3769,408792
rna8880,gene3757,408793
rna8881,gene3757,408793
rna8879,gene3757,408793
rna8882,gene3758,408794
